kernel,phase,pass,ms
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',EarlyCSEPass,0.39
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SROAPass,0.371
arrayexpr,Module passes (full optimization),PostOrderFunctionAttrsPass,0.343
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',DSEPass,0.343
arrayexpr,Finalize object,Live Variable Analysis #5,0.327
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',CorrelatedValuePropagationPass,0.324
arrayexpr,Finalize object,Register Coalescer #6,0.318
arrayexpr,Finalize object,Reaching Definitions Analysis #6,0.318
arrayexpr,Finalize object,Reaching Definitions Analysis #5,0.317
arrayexpr,Finalize object,Register Coalescer #5,0.317
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LoopSimplifyCFGPass,0.307
arrayexpr,Module passes (cheap optimization for refprune),RefPrunePass,0.303
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SimplifyCFGPass,0.294
arrayexpr,Finalize object,Live Interval Analysis #5,0.277
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',MemCpyOptPass,0.269
arrayexpr,Module passes (cheap optimization for refprune),LoopSimplifyPass,0.254
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',EarlyCSEPass,0.248
arrayexpr,Module passes (full optimization),GlobalOptPass,0.245
arrayexpr,Module passes (full optimization),ReassociatePass,0.245
arrayexpr,Module passes (full optimization),LoopSimplifyPass,0.245
arrayexpr,Module passes (full optimization),CalledValuePropagationPass,0.245
arrayexpr,Module passes (full optimization),ADCEPass,0.245
arrayexpr,Module passes (full optimization),MemCpyOptPass,0.245
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LoopIdiomRecognizePass,0.243
arrayexpr,Finalize object,Module Verifier #11,0.236
arrayexpr,Module passes (full optimization),LoopFullUnrollPass,0.229
arrayexpr,Finalize object,X86 Assembly Printer #6,0.227
arrayexpr,Finalize object,X86 Assembly Printer #5,0.227
arrayexpr,Finalize object,Module Verifier #12,0.227
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',RefPrunePass,0.201
arrayexpr,Finalize object,Machine code sinking #6,0.198
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',JumpThreadingPass,0.192
arrayexpr,Finalize object,Module Verifier #10,0.187
arrayexpr,Finalize object,Machine Copy Propagation Pass #10,0.182
arrayexpr,Finalize object,Machine code sinking #5,0.182
arrayexpr,Finalize object,Machine Copy Propagation Pass #9,0.182
arrayexpr,Finalize object,Machine Copy Propagation Pass #11,0.164
arrayexpr,Module passes (full optimization),InferAlignmentPass,0.163
arrayexpr,Module passes (full optimization),VectorCombinePass,0.163
arrayexpr,Module passes (full optimization),BDCEPass,0.163
arrayexpr,Module passes (full optimization),TailCallElimPass,0.163
arrayexpr,Module passes (full optimization),LoopInstSimplifyPass,0.163
arrayexpr,Module passes (full optimization),LCSSAPass,0.163
arrayexpr,Finalize object,Control Flow Optimizer #5,0.159
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LoopFullUnrollPass,0.159
arrayexpr,Finalize object,Control Flow Optimizer #6,0.159
arrayexpr,Finalize object,Machine Copy Propagation Pass #12,0.158
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LoopRotatePass,0.155
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',GVNPass,0.145
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',CorrelatedValuePropagationPass,0.14
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LoopInstSimplifyPass,0.139
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SCCPPass,0.139
arrayexpr,Finalize object,Branch Probability Basic Block Placement #6,0.136
arrayexpr,Finalize object,Peephole Optimizations #6,0.136
arrayexpr,Finalize object,Branch Probability Basic Block Placement #5,0.136
arrayexpr,Finalize object,Peephole Optimizations #5,0.136
arrayexpr,Finalize object,Virtual Register Rewriter #5,0.136
arrayexpr,Finalize object,Branch Probability Analysis #7,0.128
arrayexpr,Finalize object,Machine Module Information #6,0.127
arrayexpr,Finalize object,Branch Probability Analysis #8,0.125
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ConstraintEliminationPass,0.122
arrayexpr,Finalize object,Virtual Register Rewriter #6,0.119
arrayexpr,Finalize object,Dominator Tree Construction #12,0.114
arrayexpr,Finalize object,Two-Address instruction pass #6,0.114
arrayexpr,Finalize object,Branch Probability Analysis #9,0.114
arrayexpr,Finalize object,Expand memcmp() to load/stores #4,0.114
arrayexpr,Finalize object,Machine Late Instructions Cleanup Pass #6,0.113
arrayexpr,Finalize object,Two-Address instruction pass #5,0.113
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ConstraintEliminationPass,0.11
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LoopSimplifyPass,0.104
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',MemCpyOptPass,0.1
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',MemCpyOptPass,0.098
arrayexpr,Finalize object,X86 Execution Dependency Fix #5,0.091
arrayexpr,Finalize object,Prologue/Epilogue Insertion & Frame Finalization #6,0.091
arrayexpr,Finalize object,Live Range Shrink #6,0.091
arrayexpr,Finalize object,Constant Hoisting #6,0.091
arrayexpr,Finalize object,Function Alias Analysis Results #17,0.091
arrayexpr,Finalize object,Prologue/Epilogue Insertion & Frame Finalization #5,0.091
arrayexpr,Finalize object,Remove dead machine instructions #9,0.091
arrayexpr,Finalize object,X86 Execution Dependency Fix #4,0.091
arrayexpr,Finalize object,Natural Loop Information #18,0.091
arrayexpr,Finalize object,X86 Execution Dependency Fix #6,0.091
arrayexpr,Finalize object,Basic Alias Analysis (stateless AA impl) #24,0.091
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SROAPass,0.09
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',RefPrunePass,0.084
arrayexpr,Module passes (full optimization),AggressiveInstCombinePass,0.082
arrayexpr,Module passes (full optimization),LoopDistributePass,0.082
arrayexpr,Module passes (full optimization),SimpleLoopUnswitchPass,0.082
arrayexpr,Module passes (full optimization),LibCallsShrinkWrapPass,0.082
arrayexpr,Module passes (full optimization),LoopSimplifyCFGPass,0.082
arrayexpr,Module passes (full optimization),LoopRotatePass,0.082
arrayexpr,Module passes (full optimization),"RequireAnalysisPass<llvm::GlobalsAA, llvm::Module>",0.082
arrayexpr,Module passes (full optimization),RefNormalizePass,0.082
arrayexpr,Module passes (full optimization),DropUnnecessaryAssumesPass,0.082
arrayexpr,Module passes (full optimization),InferFunctionAttrsPass,0.082
arrayexpr,Module passes (full optimization),Float2IntPass,0.082
arrayexpr,Module passes (full optimization),WarnMissedTransformationsPass,0.082
arrayexpr,Module passes (full optimization),ReversePostOrderFunctionAttrsPass,0.082
arrayexpr,Module passes (full optimization),GlobalDCEPass,0.082
arrayexpr,Module passes (full optimization),CGProfilePass,0.082
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ADCEPass,0.08
arrayexpr,Finalize object,Dominator Tree Construction #11,0.079
arrayexpr,Finalize object,Expand IR instructions #6,0.076
arrayexpr,Finalize object,Remove dead machine instructions #10,0.076
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SCCPPass,0.074
arrayexpr,Finalize object,Block Frequency Analysis #6,0.073
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SCCPPass,0.073
arrayexpr,Finalize object,Basic Alias Analysis (stateless AA impl) #22,0.068
arrayexpr,Finalize object,X86 Byte/Word Instruction Fixup #6,0.068
arrayexpr,Finalize object,Eliminate PHI nodes for register allocation #6,0.068
arrayexpr,Finalize object,Stack Slot Coloring #6,0.068
arrayexpr,Finalize object,Dominator Tree Construction #10,0.068
arrayexpr,Finalize object,Branch Probability Analysis #6,0.068
arrayexpr,Finalize object,Scalar Evolution Analysis #4,0.068
arrayexpr,Finalize object,Scalar Evolution Analysis #6,0.068
arrayexpr,Finalize object,Expand IR instructions #5,0.068
arrayexpr,Finalize object,Eliminate PHI nodes for register allocation #5,0.068
arrayexpr,Finalize object,Remove dead machine instructions #11,0.062
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ReassociatePass,0.062
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ADCEPass,0.062
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LoopDeletionPass,0.06
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LCSSAPass,0.06
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ReassociatePass,0.06
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',BDCEPass,0.06
arrayexpr,Finalize object,Natural Loop Information #21,0.057
arrayexpr,Finalize object,Natural Loop Information #20,0.057
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ConstraintEliminationPass,0.055
arrayexpr,Module passes (cheap optimization for refprune),RefNormalizePass,0.052
arrayexpr,Finalize object,Slot index numbering #10,0.05
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',BDCEPass,0.05
arrayexpr,Module passes (full optimization),RecomputeGlobalsAAPass,0.049
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',DSEPass,0.047
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',RefPrunePass,0.047
arrayexpr,Finalize object,Scalar Evolution Analysis #5,0.045
arrayexpr,Finalize object,Remove dead machine instructions #12,0.045
arrayexpr,Finalize object,Shrink Wrapping analysis #6,0.045
arrayexpr,Finalize object,Machine InstCombiner #3,0.045
arrayexpr,Finalize object,Machine Dominance Frontier Construction #6,0.045
arrayexpr,Module passes (cheap optimization for refprune),LCSSAPass,0.045
arrayexpr,Finalize object,Live Range Shrink #5,0.045
arrayexpr,Finalize object,X86 Partial Reduction #5,0.045
arrayexpr,Finalize object,Shrink Wrapping analysis #5,0.045
arrayexpr,Finalize object,Post-Dominator Tree Construction #5,0.045
arrayexpr,Finalize object,Branch Probability Analysis #4,0.045
arrayexpr,Finalize object,Dominator Tree Construction #9,0.045
arrayexpr,Finalize object,Slot index numbering #9,0.041
arrayexpr,Finalize object,Machine Natural Loop Construction #16,0.04
arrayexpr,Finalize object,Natural Loop Information #24,0.04
arrayexpr,Module passes (cheap optimization for refprune),LoopRotatePass,0.039
arrayexpr,Finalize object,Post-Dominator Tree Construction #9,0.038
arrayexpr,Finalize object,Machine Dominance Frontier Construction #5,0.038
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ADCEPass,0.038
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',AggressiveInstCombinePass,0.037
arrayexpr,Finalize object,Canonicalize natural loops #6,0.034
arrayexpr,Finalize object,Machine Block Frequency Analysis #28,0.032
arrayexpr,Module passes (cheap optimization for refprune),AnnotationRemarksPass,0.031
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',BDCEPass,0.031
arrayexpr,Finalize object,Post-Dominator Tree Construction #10,0.03
arrayexpr,Finalize object,BreakFalseDeps #5,0.03
arrayexpr,Finalize object,Machine Block Frequency Analysis #26,0.027
arrayexpr,Finalize object,Machine Natural Loop Construction #14,0.027
arrayexpr,Finalize object,Machine Natural Loop Construction #15,0.027
