kernel,rep,pipeline,pass,run_s
saxpy,1,nopython,9_make_function_op_code_to_jit_function,5e-06
saxpy,1,nopython,10_inline_inlinables,1.5e-05
saxpy,1,nopython,11_dead_branch_prune,2.4e-05
saxpy,1,nopython,12_find_literally,7e-06
saxpy,1,nopython,13_literal_unroll,5e-06
saxpy,1,nopython,14_reconstruct_ssa,0.000251
saxpy,1,nopython,15_dead_branch_prune,2.4e-05
saxpy,1,nopython,16_LiteralPropagation,5e-06
saxpy,1,nopython,17_nopython_type_inference,0.001712
saxpy,1,nopython,18_strip_phis,0.000179
saxpy,1,nopython,19_inline_overloads,8.2e-05
saxpy,1,nopython,20_nopython_rewrites,0.000512
saxpy,1,nopython,21_nopython_supported_feature_validation,2e-05
saxpy,1,nopython,22_ir_legalization,0.000181
saxpy,1,nopython,23_annotate_types,1.9e-05
saxpy,1,nopython,24_native_lowering,0.03016
saxpy,1,nopython,25_nopython_backend,2e-05
saxpy,1,nopython,26_dump_parfor_diagnostics,1e-06
saxpy,2,nopython,0_translate_bytecode,0.000644
saxpy,2,nopython,1_fixup_args,1e-06
saxpy,2,nopython,2_ir_processing,0.000159
saxpy,2,nopython,3_with_lifting,2.9e-05
saxpy,2,nopython,4_inline_closure_likes,0.000395
saxpy,2,nopython,5_rewrite_semantic_constants,1.2e-05
saxpy,2,nopython,6_dead_branch_prune,3.1e-05
saxpy,2,nopython,7_generic_rewrites,0.000264
saxpy,2,nopython,8_Rewrite dynamic raises,3e-06
saxpy,2,nopython,9_make_function_op_code_to_jit_function,6e-06
saxpy,2,nopython,10_inline_inlinables,1.5e-05
saxpy,2,nopython,11_dead_branch_prune,2.5e-05
saxpy,2,nopython,12_find_literally,8e-06
saxpy,2,nopython,13_literal_unroll,5e-06
saxpy,2,nopython,14_reconstruct_ssa,0.000249
saxpy,2,nopython,15_dead_branch_prune,2.4e-05
saxpy,2,nopython,16_LiteralPropagation,5e-06
saxpy,2,nopython,17_nopython_type_inference,0.001721
saxpy,2,nopython,18_strip_phis,0.000185
saxpy,2,nopython,19_inline_overloads,8.2e-05
saxpy,2,nopython,20_nopython_rewrites,0.000495
saxpy,2,nopython,21_nopython_supported_feature_validation,2e-05
saxpy,2,nopython,22_ir_legalization,0.000193
saxpy,2,nopython,23_annotate_types,1.9e-05
saxpy,2,nopython,24_native_lowering,0.030162
saxpy,2,nopython,25_nopython_backend,1.5e-05
saxpy,2,nopython,26_dump_parfor_diagnostics,1e-06
saxpy,3,nopython,0_translate_bytecode,0.000632
saxpy,3,nopython,1_fixup_args,1e-06
saxpy,3,nopython,2_ir_processing,0.000163
saxpy,3,nopython,3_with_lifting,2.7e-05
saxpy,3,nopython,4_inline_closure_likes,0.000392
saxpy,3,nopython,5_rewrite_semantic_constants,1.2e-05
saxpy,3,nopython,6_dead_branch_prune,2.8e-05
saxpy,3,nopython,7_generic_rewrites,0.00027
saxpy,3,nopython,8_Rewrite dynamic raises,3e-06
saxpy,3,nopython,9_make_function_op_code_to_jit_function,5e-06
saxpy,3,nopython,10_inline_inlinables,1.4e-05
saxpy,3,nopython,11_dead_branch_prune,2.4e-05
saxpy,3,nopython,12_find_literally,7e-06
saxpy,3,nopython,13_literal_unroll,5e-06
saxpy,3,nopython,14_reconstruct_ssa,0.000244
saxpy,3,nopython,15_dead_branch_prune,2.4e-05
saxpy,3,nopython,16_LiteralPropagation,5e-06
saxpy,3,nopython,17_nopython_type_inference,0.001687
saxpy,3,nopython,18_strip_phis,0.00018
saxpy,3,nopython,19_inline_overloads,8.7e-05
saxpy,3,nopython,20_nopython_rewrites,0.000506
saxpy,3,nopython,21_nopython_supported_feature_validation,2e-05
saxpy,3,nopython,22_ir_legalization,0.000184
saxpy,3,nopython,23_annotate_types,1.9e-05
saxpy,3,nopython,24_native_lowering,0.030276
saxpy,3,nopython,25_nopython_backend,1.4e-05
saxpy,3,nopython,26_dump_parfor_diagnostics,1e-06
saxpy,4,nopython,0_translate_bytecode,0.000633
saxpy,4,nopython,1_fixup_args,1e-06
saxpy,4,nopython,2_ir_processing,0.000159
saxpy,4,nopython,3_with_lifting,2.9e-05
saxpy,4,nopython,4_inline_closure_likes,0.000391
saxpy,4,nopython,5_rewrite_semantic_constants,1.3e-05
saxpy,4,nopython,6_dead_branch_prune,2.9e-05
saxpy,4,nopython,7_generic_rewrites,0.000262
saxpy,4,nopython,8_Rewrite dynamic raises,4e-06
saxpy,4,nopython,9_make_function_op_code_to_jit_function,5e-06
saxpy,4,nopython,10_inline_inlinables,1.5e-05
saxpy,4,nopython,11_dead_branch_prune,2.4e-05
saxpy,4,nopython,12_find_literally,7e-06
saxpy,4,nopython,13_literal_unroll,5e-06
saxpy,4,nopython,14_reconstruct_ssa,0.000242
saxpy,4,nopython,15_dead_branch_prune,2.4e-05
saxpy,4,nopython,16_LiteralPropagation,6e-06
saxpy,4,nopython,17_nopython_type_inference,0.00171
saxpy,4,nopython,18_strip_phis,0.000177
saxpy,4,nopython,19_inline_overloads,8.3e-05
saxpy,4,nopython,20_nopython_rewrites,0.000515
saxpy,4,nopython,21_nopython_supported_feature_validation,2e-05
saxpy,4,nopython,22_ir_legalization,0.00018
saxpy,4,nopython,23_annotate_types,1.9e-05
saxpy,4,nopython,24_native_lowering,0.030015
saxpy,4,nopython,25_nopython_backend,1.4e-05
saxpy,4,nopython,26_dump_parfor_diagnostics,1e-06
reduce,0,nopython,0_translate_bytecode,0.000598
reduce,0,nopython,1_fixup_args,1e-06
reduce,0,nopython,2_ir_processing,0.000149
reduce,0,nopython,3_with_lifting,2.9e-05
reduce,0,nopython,4_inline_closure_likes,0.000368
reduce,0,nopython,5_rewrite_semantic_constants,1.1e-05
reduce,0,nopython,6_dead_branch_prune,2.7e-05
reduce,0,nopython,7_generic_rewrites,0.000209
reduce,0,nopython,8_Rewrite dynamic raises,3e-06
reduce,0,nopython,9_make_function_op_code_to_jit_function,5e-06
reduce,0,nopython,10_inline_inlinables,1.5e-05
reduce,0,nopython,11_dead_branch_prune,5.7e-05
reduce,0,nopython,12_find_literally,7e-06
reduce,0,nopython,13_literal_unroll,5e-06
reduce,0,nopython,14_reconstruct_ssa,0.000335
reduce,0,nopython,15_dead_branch_prune,2.7e-05
reduce,0,nopython,16_LiteralPropagation,5e-06
reduce,0,nopython,17_nopython_type_inference,0.001191
reduce,0,nopython,18_strip_phis,0.000189
reduce,0,nopython,19_inline_overloads,7.1e-05
reduce,0,nopython,20_nopython_rewrites,0.000476
reduce,0,nopython,21_nopython_supported_feature_validation,1.8e-05
reduce,0,nopython,22_ir_legalization,0.000169
reduce,0,nopython,23_annotate_types,1.9e-05
reduce,0,nopython,24_native_lowering,0.023525
reduce,0,nopython,25_nopython_backend,1.3e-05
reduce,0,nopython,26_dump_parfor_diagnostics,1e-06
reduce,1,nopython,0_translate_bytecode,0.000606
reduce,1,nopython,1_fixup_args,1e-06
reduce,1,nopython,2_ir_processing,0.000153
reduce,1,nopython,3_with_lifting,2.8e-05
reduce,1,nopython,4_inline_closure_likes,0.000356
reduce,1,nopython,5_rewrite_semantic_constants,1.2e-05
reduce,1,nopython,6_dead_branch_prune,2.7e-05
reduce,1,nopython,7_generic_rewrites,0.000216
reduce,1,nopython,8_Rewrite dynamic raises,3e-06
reduce,1,nopython,9_make_function_op_code_to_jit_function,5e-06
reduce,1,nopython,10_inline_inlinables,1.4e-05
reduce,1,nopython,11_dead_branch_prune,5.7e-05
reduce,1,nopython,12_find_literally,6e-06
reduce,1,nopython,13_literal_unroll,5e-06
reduce,1,nopython,14_reconstruct_ssa,0.000345
reduce,1,nopython,15_dead_branch_prune,2.6e-05
reduce,1,nopython,16_LiteralPropagation,5e-06
reduce,1,nopython,17_nopython_type_inference,0.001189
reduce,1,nopython,18_strip_phis,0.000188
reduce,1,nopython,19_inline_overloads,7.4e-05
reduce,1,nopython,20_nopython_rewrites,0.000469
reduce,1,nopython,21_nopython_supported_feature_validation,1.9e-05
reduce,1,nopython,22_ir_legalization,0.000177
reduce,1,nopython,23_annotate_types,1.9e-05
reduce,1,nopython,24_native_lowering,0.023516
reduce,1,nopython,25_nopython_backend,1.3e-05
reduce,1,nopython,26_dump_parfor_diagnostics,1e-06
reduce,2,nopython,0_translate_bytecode,0.000599
reduce,2,nopython,1_fixup_args,1e-06
reduce,2,nopython,2_ir_processing,0.000153
reduce,2,nopython,3_with_lifting,2.8e-05
reduce,2,nopython,4_inline_closure_likes,0.00036
reduce,2,nopython,5_rewrite_semantic_constants,1.2e-05
reduce,2,nopython,6_dead_branch_prune,2.7e-05
reduce,2,nopython,7_generic_rewrites,0.000219
reduce,2,nopython,8_Rewrite dynamic raises,3e-06
reduce,2,nopython,9_make_function_op_code_to_jit_function,5e-06
reduce,2,nopython,10_inline_inlinables,1.4e-05
reduce,2,nopython,11_dead_branch_prune,5.6e-05
reduce,2,nopython,12_find_literally,6e-06
reduce,2,nopython,13_literal_unroll,5e-06
reduce,2,nopython,14_reconstruct_ssa,0.000338
reduce,2,nopython,15_dead_branch_prune,2.6e-05
reduce,2,nopython,16_LiteralPropagation,5e-06
reduce,2,nopython,17_nopython_type_inference,0.001176
reduce,2,nopython,18_strip_phis,0.000187
reduce,2,nopython,19_inline_overloads,7.3e-05
reduce,2,nopython,20_nopython_rewrites,0.000473
reduce,2,nopython,21_nopython_supported_feature_validation,1.9e-05
reduce,2,nopython,22_ir_legalization,0.000173
reduce,2,nopython,23_annotate_types,1.9e-05
reduce,2,nopython,24_native_lowering,0.023619
reduce,2,nopython,25_nopython_backend,1.3e-05
reduce,2,nopython,26_dump_parfor_diagnostics,1e-06
reduce,3,nopython,0_translate_bytecode,0.000594
reduce,3,nopython,1_fixup_args,1e-06
reduce,3,nopython,2_ir_processing,0.000147
reduce,3,nopython,3_with_lifting,2.7e-05
reduce,3,nopython,4_inline_closure_likes,0.000372
reduce,3,nopython,5_rewrite_semantic_constants,1.2e-05
reduce,3,nopython,6_dead_branch_prune,2.9e-05
reduce,3,nopython,7_generic_rewrites,0.000209
reduce,3,nopython,8_Rewrite dynamic raises,4e-06
reduce,3,nopython,9_make_function_op_code_to_jit_function,5e-06
reduce,3,nopython,10_inline_inlinables,1.5e-05
reduce,3,nopython,11_dead_branch_prune,5.7e-05
reduce,3,nopython,12_find_literally,7e-06
reduce,3,nopython,13_literal_unroll,5e-06
reduce,3,nopython,14_reconstruct_ssa,0.000337
reduce,3,nopython,15_dead_branch_prune,2.8e-05
reduce,3,nopython,16_LiteralPropagation,5e-06
reduce,3,nopython,17_nopython_type_inference,0.001193
reduce,3,nopython,18_strip_phis,0.000196
reduce,3,nopython,19_inline_overloads,6.6e-05
reduce,3,nopython,20_nopython_rewrites,0.000481
reduce,3,nopython,21_nopython_supported_feature_validation,1.8e-05
reduce,3,nopython,22_ir_legalization,0.000175
reduce,3,nopython,23_annotate_types,1.9e-05
reduce,3,nopython,24_native_lowering,0.023758
reduce,3,nopython,25_nopython_backend,1.3e-05
reduce,3,nopython,26_dump_parfor_diagnostics,1e-06
reduce,4,nopython,0_translate_bytecode,0.000599
reduce,4,nopython,1_fixup_args,1e-06
reduce,4,nopython,2_ir_processing,0.000149
reduce,4,nopython,3_with_lifting,2.9e-05
reduce,4,nopython,4_inline_closure_likes,0.000359
reduce,4,nopython,5_rewrite_semantic_constants,1.3e-05
reduce,4,nopython,6_dead_branch_prune,2.8e-05
reduce,4,nopython,7_generic_rewrites,0.000217
reduce,4,nopython,8_Rewrite dynamic raises,3e-06
reduce,4,nopython,9_make_function_op_code_to_jit_function,5e-06
reduce,4,nopython,10_inline_inlinables,1.4e-05
reduce,4,nopython,11_dead_branch_prune,5.7e-05
reduce,4,nopython,12_find_literally,6e-06
reduce,4,nopython,13_literal_unroll,5e-06
reduce,4,nopython,14_reconstruct_ssa,0.000344
reduce,4,nopython,15_dead_branch_prune,2.6e-05
reduce,4,nopython,16_LiteralPropagation,5e-06
reduce,4,nopython,17_nopython_type_inference,0.001186
reduce,4,nopython,18_strip_phis,0.000192
reduce,4,nopython,19_inline_overloads,7e-05
reduce,4,nopython,20_nopython_rewrites,0.00047
reduce,4,nopython,21_nopython_supported_feature_validation,2e-05
reduce,4,nopython,22_ir_legalization,0.00018
reduce,4,nopython,23_annotate_types,1.9e-05
reduce,4,nopython,24_native_lowering,0.023485
reduce,4,nopython,25_nopython_backend,1.3e-05
reduce,4,nopython,26_dump_parfor_diagnostics,1e-06
stencil2d,0,nopython,0_translate_bytecode,0.001229
stencil2d,0,nopython,1_fixup_args,1e-06
stencil2d,0,nopython,2_ir_processing,0.000325
stencil2d,0,nopython,3_with_lifting,4.1e-05
stencil2d,0,nopython,4_inline_closure_likes,0.000916
stencil2d,0,nopython,5_rewrite_semantic_constants,1.8e-05
stencil2d,0,nopython,6_dead_branch_prune,3.6e-05
stencil2d,0,nopython,7_generic_rewrites,0.000598
stencil2d,0,nopython,8_Rewrite dynamic raises,5e-06
stencil2d,0,nopython,9_make_function_op_code_to_jit_function,8e-06
stencil2d,0,nopython,10_inline_inlinables,2e-05
stencil2d,0,nopython,11_dead_branch_prune,3.4e-05
stencil2d,0,nopython,12_find_literally,1.1e-05
stencil2d,0,nopython,13_literal_unroll,8e-06
stencil2d,0,nopython,14_reconstruct_ssa,0.000578
stencil2d,0,nopython,15_dead_branch_prune,3.2e-05
stencil2d,0,nopython,16_LiteralPropagation,9e-06
stencil2d,0,nopython,17_nopython_type_inference,0.004254
stencil2d,0,nopython,18_strip_phis,0.000365
stencil2d,0,nopython,19_inline_overloads,0.000184
stencil2d,0,nopython,20_nopython_rewrites,0.001016
stencil2d,0,nopython,21_nopython_supported_feature_validation,3.3e-05
stencil2d,0,nopython,22_ir_legalization,0.000433
stencil2d,0,nopython,23_annotate_types,2.1e-05
stencil2d,0,nopython,24_native_lowering,0.053019
stencil2d,0,nopython,25_nopython_backend,1.4e-05
stencil2d,0,nopython,26_dump_parfor_diagnostics,1e-06
stencil2d,1,nopython,0_translate_bytecode,0.001266
stencil2d,1,nopython,1_fixup_args,1e-06
stencil2d,1,nopython,2_ir_processing,0.000329
stencil2d,1,nopython,3_with_lifting,4.2e-05
stencil2d,1,nopython,4_inline_closure_likes,0.000914
stencil2d,1,nopython,5_rewrite_semantic_constants,1.8e-05
stencil2d,1,nopython,6_dead_branch_prune,3.9e-05
stencil2d,1,nopython,7_generic_rewrites,0.00059
stencil2d,1,nopython,8_Rewrite dynamic raises,5e-06
stencil2d,1,nopython,9_make_function_op_code_to_jit_function,8e-06
stencil2d,1,nopython,10_inline_inlinables,2.1e-05
stencil2d,1,nopython,11_dead_branch_prune,3.4e-05
stencil2d,1,nopython,12_find_literally,1.2e-05
stencil2d,1,nopython,13_literal_unroll,9e-06
stencil2d,1,nopython,14_reconstruct_ssa,0.000579
stencil2d,1,nopython,15_dead_branch_prune,3.1e-05
stencil2d,1,nopython,16_LiteralPropagation,9e-06
stencil2d,1,nopython,17_nopython_type_inference,0.004366
stencil2d,1,nopython,18_strip_phis,0.0004
stencil2d,1,nopython,19_inline_overloads,0.000202
stencil2d,1,nopython,20_nopython_rewrites,0.001047
stencil2d,1,nopython,21_nopython_supported_feature_validation,3.5e-05
stencil2d,1,nopython,22_ir_legalization,0.000433
stencil2d,1,nopython,23_annotate_types,2.3e-05
stencil2d,1,nopython,24_native_lowering,0.05345
stencil2d,1,nopython,25_nopython_backend,1.5e-05
stencil2d,1,nopython,26_dump_parfor_diagnostics,1e-06
stencil2d,2,nopython,0_translate_bytecode,0.001208
stencil2d,2,nopython,1_fixup_args,1e-06
stencil2d,2,nopython,2_ir_processing,0.000323
stencil2d,2,nopython,3_with_lifting,4e-05
stencil2d,2,nopython,4_inline_closure_likes,0.000893
stencil2d,2,nopython,5_rewrite_semantic_constants,1.8e-05
stencil2d,2,nopython,6_dead_branch_prune,3.5e-05
stencil2d,2,nopython,7_generic_rewrites,0.000582
stencil2d,2,nopython,8_Rewrite dynamic raises,5e-06
stencil2d,2,nopython,9_make_function_op_code_to_jit_function,8e-06
stencil2d,2,nopython,10_inline_inlinables,2e-05
stencil2d,2,nopython,11_dead_branch_prune,3.3e-05
stencil2d,2,nopython,12_find_literally,1.1e-05
stencil2d,2,nopython,13_literal_unroll,9e-06
stencil2d,2,nopython,14_reconstruct_ssa,0.000565
stencil2d,2,nopython,15_dead_branch_prune,3.1e-05
stencil2d,2,nopython,16_LiteralPropagation,9e-06
stencil2d,2,nopython,17_nopython_type_inference,0.004185
stencil2d,2,nopython,18_strip_phis,0.000356
stencil2d,2,nopython,19_inline_overloads,0.000181
stencil2d,2,nopython,20_nopython_rewrites,0.00102
stencil2d,2,nopython,21_nopython_supported_feature_validation,3.4e-05
stencil2d,2,nopython,22_ir_legalization,0.000429
stencil2d,2,nopython,23_annotate_types,2.1e-05
stencil2d,2,nopython,24_native_lowering,0.052399
stencil2d,2,nopython,25_nopython_backend,1.4e-05
stencil2d,2,nopython,26_dump_parfor_diagnostics,1e-06
stencil2d,3,nopython,0_translate_bytecode,0.00121
stencil2d,3,nopython,1_fixup_args,1e-06
stencil2d,3,nopython,2_ir_processing,0.000322
stencil2d,3,nopython,3_with_lifting,4e-05
stencil2d,3,nopython,4_inline_closure_likes,0.000902
stencil2d,3,nopython,5_rewrite_semantic_constants,1.8e-05
stencil2d,3,nopython,6_dead_branch_prune,3.5e-05
stencil2d,3,nopython,7_generic_rewrites,0.000588
stencil2d,3,nopython,8_Rewrite dynamic raises,5e-06
stencil2d,3,nopython,9_make_function_op_code_to_jit_function,8e-06
stencil2d,3,nopython,10_inline_inlinables,2e-05
stencil2d,3,nopython,11_dead_branch_prune,3.3e-05
stencil2d,3,nopython,12_find_literally,1.1e-05
stencil2d,3,nopython,13_literal_unroll,8e-06
stencil2d,3,nopython,14_reconstruct_ssa,0.000562
stencil2d,3,nopython,15_dead_branch_prune,3.1e-05
stencil2d,3,nopython,16_LiteralPropagation,9e-06
stencil2d,3,nopython,17_nopython_type_inference,0.004223
stencil2d,3,nopython,18_strip_phis,0.000359
stencil2d,3,nopython,19_inline_overloads,0.000183
stencil2d,3,nopython,20_nopython_rewrites,0.001038
stencil2d,3,nopython,21_nopython_supported_feature_validation,3.4e-05
stencil2d,3,nopython,22_ir_legalization,0.000425
stencil2d,3,nopython,23_annotate_types,2.1e-05
stencil2d,3,nopython,24_native_lowering,0.052374
stencil2d,3,nopython,25_nopython_backend,1.8e-05
stencil2d,3,nopython,26_dump_parfor_diagnostics,1e-06
stencil2d,4,nopython,0_translate_bytecode,0.00121
stencil2d,4,nopython,1_fixup_args,1e-06
stencil2d,4,nopython,2_ir_processing,0.00032
stencil2d,4,nopython,3_with_lifting,4e-05
stencil2d,4,nopython,4_inline_closure_likes,0.000907
stencil2d,4,nopython,5_rewrite_semantic_constants,1.8e-05
stencil2d,4,nopython,6_dead_branch_prune,3.5e-05
stencil2d,4,nopython,7_generic_rewrites,0.000591
stencil2d,4,nopython,8_Rewrite dynamic raises,5e-06
stencil2d,4,nopython,9_make_function_op_code_to_jit_function,8e-06
stencil2d,4,nopython,10_inline_inlinables,2e-05
stencil2d,4,nopython,11_dead_branch_prune,3.3e-05
stencil2d,4,nopython,12_find_literally,1.1e-05
stencil2d,4,nopython,13_literal_unroll,9e-06
stencil2d,4,nopython,14_reconstruct_ssa,0.000568
stencil2d,4,nopython,15_dead_branch_prune,3.2e-05
stencil2d,4,nopython,16_LiteralPropagation,9e-06
stencil2d,4,nopython,17_nopython_type_inference,0.004227
stencil2d,4,nopython,18_strip_phis,0.000351
stencil2d,4,nopython,19_inline_overloads,0.000181
stencil2d,4,nopython,20_nopython_rewrites,0.001013
stencil2d,4,nopython,21_nopython_supported_feature_validation,3.4e-05
stencil2d,4,nopython,22_ir_legalization,0.000426
stencil2d,4,nopython,23_annotate_types,2.1e-05
stencil2d,4,nopython,24_native_lowering,0.052174
stencil2d,4,nopython,25_nopython_backend,1.3e-05
stencil2d,4,nopython,26_dump_parfor_diagnostics,1e-06
arrayexpr,0,nopython,0_translate_bytecode,0.000397
arrayexpr,0,nopython,1_fixup_args,1e-06
arrayexpr,0,nopython,2_ir_processing,8.5e-05
arrayexpr,0,nopython,3_with_lifting,1.9e-05
arrayexpr,0,nopython,4_inline_closure_likes,0.000203
arrayexpr,0,nopython,5_rewrite_semantic_constants,9e-06
arrayexpr,0,nopython,6_dead_branch_prune,2.2e-05
arrayexpr,0,nopython,7_generic_rewrites,9.3e-05
arrayexpr,0,nopython,8_Rewrite dynamic raises,2e-06
arrayexpr,0,nopython,9_make_function_op_code_to_jit_function,4e-06
arrayexpr,0,nopython,10_inline_inlinables,9e-06
arrayexpr,0,nopython,11_dead_branch_prune,1.9e-05
arrayexpr,0,nopython,12_find_literally,4e-06
arrayexpr,0,nopython,13_literal_unroll,3e-06
arrayexpr,0,nopython,14_reconstruct_ssa,0.000135
arrayexpr,0,nopython,15_dead_branch_prune,1.5e-05
arrayexpr,0,nopython,16_LiteralPropagation,3e-06
arrayexpr,0,nopython,17_nopython_type_inference,0.001398
arrayexpr,0,nopython,18_strip_phis,9.3e-05
arrayexpr,0,nopython,19_inline_overloads,5.9e-05
arrayexpr,0,nopython,20_nopython_rewrites,0.00032
arrayexpr,0,nopython,21_nopython_supported_feature_validation,1.4e-05
arrayexpr,0,nopython,22_ir_legalization,7.8e-05
arrayexpr,0,nopython,23_annotate_types,1.6e-05
arrayexpr,0,nopython,24_native_lowering,0.128194
arrayexpr,0,nopython,25_nopython_backend,1.4e-05
arrayexpr,0,nopython,26_dump_parfor_diagnostics,1e-06
arrayexpr,1,nopython,0_translate_bytecode,0.000396
arrayexpr,1,nopython,1_fixup_args,1e-06
arrayexpr,1,nopython,2_ir_processing,8.5e-05
arrayexpr,1,nopython,3_with_lifting,2.5e-05
arrayexpr,1,nopython,4_inline_closure_likes,0.000198
arrayexpr,1,nopython,5_rewrite_semantic_constants,9e-06
arrayexpr,1,nopython,6_dead_branch_prune,2.1e-05
arrayexpr,1,nopython,7_generic_rewrites,8.8e-05
arrayexpr,1,nopython,8_Rewrite dynamic raises,2e-06
arrayexpr,1,nopython,9_make_function_op_code_to_jit_function,4e-06
arrayexpr,1,nopython,10_inline_inlinables,9e-06
arrayexpr,1,nopython,11_dead_branch_prune,1.9e-05
arrayexpr,1,nopython,12_find_literally,4e-06
arrayexpr,1,nopython,13_literal_unroll,3e-06
arrayexpr,1,nopython,14_reconstruct_ssa,0.000137
arrayexpr,1,nopython,15_dead_branch_prune,1.6e-05
arrayexpr,1,nopython,16_LiteralPropagation,4e-06
arrayexpr,1,nopython,17_nopython_type_inference,0.001387
arrayexpr,1,nopython,18_strip_phis,9.3e-05
arrayexpr,1,nopython,19_inline_overloads,6.5e-05
arrayexpr,1,nopython,20_nopython_rewrites,0.000318
arrayexpr,1,nopython,21_nopython_supported_feature_validation,1.3e-05
arrayexpr,1,nopython,22_ir_legalization,7.9e-05
arrayexpr,1,nopython,23_annotate_types,1.6e-05
arrayexpr,1,nopython,24_native_lowering,0.125958
arrayexpr,1,nopython,25_nopython_backend,1.3e-05
arrayexpr,1,nopython,26_dump_parfor_diagnostics,1e-06
arrayexpr,2,nopython,0_translate_bytecode,0.000399
arrayexpr,2,nopython,1_fixup_args,1e-06
arrayexpr,2,nopython,2_ir_processing,8.5e-05
arrayexpr,2,nopython,3_with_lifting,2.4e-05
arrayexpr,2,nopython,4_inline_closure_likes,0.000198
arrayexpr,2,nopython,5_rewrite_semantic_constants,9e-06
arrayexpr,2,nopython,6_dead_branch_prune,2.1e-05
arrayexpr,2,nopython,7_generic_rewrites,9.2e-05
arrayexpr,2,nopython,8_Rewrite dynamic raises,2e-06
arrayexpr,2,nopython,9_make_function_op_code_to_jit_function,4e-06
arrayexpr,2,nopython,10_inline_inlinables,9e-06
arrayexpr,2,nopython,11_dead_branch_prune,2e-05
arrayexpr,2,nopython,12_find_literally,4e-06
arrayexpr,2,nopython,13_literal_unroll,4e-06
arrayexpr,2,nopython,14_reconstruct_ssa,0.000138
arrayexpr,2,nopython,15_dead_branch_prune,1.5e-05
arrayexpr,2,nopython,16_LiteralPropagation,3e-06
arrayexpr,2,nopython,17_nopython_type_inference,0.001405
arrayexpr,2,nopython,18_strip_phis,9.4e-05
arrayexpr,2,nopython,19_inline_overloads,6.4e-05
arrayexpr,2,nopython,20_nopython_rewrites,0.000323
arrayexpr,2,nopython,21_nopython_supported_feature_validation,1.3e-05
arrayexpr,2,nopython,22_ir_legalization,7.4e-05
arrayexpr,2,nopython,23_annotate_types,1.6e-05
arrayexpr,2,nopython,24_native_lowering,0.125314
arrayexpr,2,nopython,25_nopython_backend,1.3e-05
arrayexpr,2,nopython,26_dump_parfor_diagnostics,1e-06
arrayexpr,3,nopython,0_translate_bytecode,0.000412
arrayexpr,3,nopython,1_fixup_args,1e-06
arrayexpr,3,nopython,2_ir_processing,8.7e-05
arrayexpr,3,nopython,3_with_lifting,2.1e-05
arrayexpr,3,nopython,4_inline_closure_likes,0.000201
arrayexpr,3,nopython,5_rewrite_semantic_constants,9e-06
arrayexpr,3,nopython,6_dead_branch_prune,2.7e-05
arrayexpr,3,nopython,7_generic_rewrites,8.8e-05
arrayexpr,3,nopython,8_Rewrite dynamic raises,2e-06
arrayexpr,3,nopython,9_make_function_op_code_to_jit_function,4e-06
arrayexpr,3,nopython,10_inline_inlinables,9e-06
arrayexpr,3,nopython,11_dead_branch_prune,1.9e-05
arrayexpr,3,nopython,12_find_literally,4e-06
arrayexpr,3,nopython,13_literal_unroll,3e-06
arrayexpr,3,nopython,14_reconstruct_ssa,0.000136
arrayexpr,3,nopython,15_dead_branch_prune,1.5e-05
arrayexpr,3,nopython,16_LiteralPropagation,4e-06
arrayexpr,3,nopython,17_nopython_type_inference,0.001426
